21D0	'Acqua', 'Carro dell'acqua' (Ripa)
11FF4222	Maria Vergine seduta o in trono, con Gesù Bambino seduto sulle ginocchia (Gesù Bambino alla sinistra di Maria Vergine) - FF - Gesù Bambino alla destra di Maria Vergine
11F422	Maria Vergine seduta o in trono, con Gesù Bambino sulle ginocchia (Gesù Bambino alla sinistra di Maria Vergine)
11FF422	Maria Vergine seduta o in trono, con Gesù Bambino sulle ginocchia (Gesù Bambino alla sinistra di Maria Vergine) - FF - Gesù Bambino alla destra di Maria Vergine
11F2412	Maria Vergine trafitta da sette spade (Maria Vergine seduta, senza altri personaggi)
11F252	Maria Vergine trafitta da una spada
11F21	Maria bambina
73B131	Maria distesa su un letto o un giaciglio, guarda Gesù Bambino
73A623	Maria e Elisabetta si stringono le mani
73A622	Maria e Elisabetta, entrambe incinte, si abbracciano
73B831	Maria e Gesù Bambino con Giovanni Battista (bambino)
73A4	Maria e Giuseppe
73B43	Maria e Giuseppe benedetti da Simeone ~ presentazione di Gesù al tempio
73A53	Maria e l'angelo rappresentati a mezza figura ~ Annunciazione
73A341	Maria lascia i suoi genitori per recarsi al Tempio
73A67	Maria ritorna a casa ~ Visitazione
73A624	Maria saluta Elisabetta, che si inginocchia davanti a lei
73A57	Maria sospettata di adulterio
73B13	Maria, Giuseppe e il neonato Gesù (Natività)
92B423	Marte e Venere come amanti
92B4233	Marte e Venere sorpresi da Vulcano; Vulcano li imprigiona in una rete
92I711	Medusa (una delle Gorgoni)
92D424	Melpomene (una delle Muse); 'Melpomene' (Ripa)
92L1121	Mercurio affida il piccolo Bacco alla cura delle ninfe del monte Nisa
94I211	Mercurio ordina a Calipso di lasciare libero Ulisse (Od. V)
9	Mitologia classica e storia antica
31F26	Morte come scheletro
71E1354	Mosè (e Giosuè) scende (scendono) con le tavole della legge
71E1222	Mosè alza il bastone e le acque si dividono (Mar Rosso); l'angelo di Dio e la colonna di nube si spostano passando dietro al popolo
71E3361	Mosè comanda l'attacco contro i Madianiti
71E126	Mosè fa scaturire l'acqua dalla roccia
71E1263	Mosè percuote due volte la roccia davanti al popolo riunito e scaturisce l'acqua
71E1343	Mosè riceve le tavole della legge da Dio
71E134	Mosè sul Monte Sinai con le tavole della legge
11A2	Natura Divina
92I2	Nereidi, figlie di Nereo; ninfe marine
92H141	Nettuno agita il mare col suo tridente
92H1411	Nettuno placa la tempesta, 'quos ego' (Eneide I, 135)
11F241	Nostra Signora dei Dolori; Madonna dei Dolori (Maria Vergine seduta, senza altri personaggi)
71B35	Noè come viticoltore (Gen. 9, 18-27)
71B3322	Noè fa uscire una colomba
71B342	Noè, la sua famiglia e gli animali escono dall'arca (in qualche caso contemporaneamente appare l'arcobaleno dell'alleanza)
71E31	Numeri (parte I): dal Monte Sinai a Kadesh
71E32	Numeri (parte II), il viaggio da Cades a Moab
71E33	Numeri (parte III):fatti accaduti a Moab
71E3	Numeri: la peregrinazione nel deserto, gli Ebrei lasciano il Monte Sinai e raggiungono Canaan
73	Nuovo Testamento
11Q7674	Ognissanti
11P315	Ordini monastici, vita monastica ~ Chiesa Cattolica Romana
94O51	Orfeo suona la lira
94O511	Orfeo suona la lira: alberi e rocce si muovono, animali e uccelli restano incantati
23A1	Padre Tempo, uomo con ali e falce
96B6522	Pallante conduce Enea da suo padre Evandro, che sta sacrificando a Ercole in un boschetto fuori dalla città degli Arcadi
73F22381	Paolo guarisce i malati o resuscita
92G1	Parche (Moire)
73A22	Parentela Santa
94C11	Paride e il pomo d'oro
73D	Passione di Cristo
93D1	Pegaso, il cavallo alato
11Q765	Pentecoste, domenica di Pentecoste
73E5	Pentecoste: lo Spirito Santo scende su (Maria e) gli apostoli, talvolta sono presenti Paolo e/o rappresentanti delle nazioni (At. 2, 1-4)
94P21	Perseo e Andromeda
94P211	Perseo uccide il mostro marino (o lo trasforma in pietra mostrandogli la testa della Gorgone) per liberare Andromeda; in qualche caso i genitori di Andromeda, Cefeo e Cassiopea, osservano la scena
23S12	Persia (uno dei quattro imperi del mondo)
73F215	Pietro a Roma
73F2153	Pietro a Roma; contesa con Simon Mago
73F2165	Pietro crocifisso a testa in giù
73C622	Pietro estrae una moneta dalla bocca di un pesce e paga il tributo al tempio
73F214	Pietro perseguitato a Gerusalemme (At. 12, 1-23)
73F215365	Pietro prega: Simone cade e subito dopo muore
73D3141	Pietro sguaina la spada e taglia l'orecchio a Malco
73D36	Pilato mostra Cristo al popolo, 'Ostentatio Christi', 'Ecce Homo'(Gv. 19, 4-6)
73D3233	Pilato si lava le mani declinando ogni responsabilità
92N123	Plutone innamorato di Proserpina
94I134	Polifemo scaglia una roccia contro le navi di Ulisse che ripartono (+ variante)
32B32	Popoli africani, africani
32B33	Popoli asiatici, asiatici
32B31	Popoli europei
11M41	Prudenza, 'Prudentia'; 'Prudenza' (Ripa) ~ una delle quattro Virtù Cardinali
92D192	Psiche
92D19217	Psiche affronta le varie prove impostele da Venere
92D1921744	Psiche davanti a Proserpina
92D1921743	Psiche dà da mangiare a Cerbero una focaccia
92D192161	Psiche e Cerere
92D1921321	Psiche e le sorelle nel palazzo
92D19213	Psiche nel palazzo di Cupido
92D192174	Psiche viene mandata agli inferi per prendere un cofanetto (una fiala) con la bellezza di Proserpina
92D19218	Psiche viene portata sull'Olimpo da Mercurio
92D192131	Psiche viene servita da mani invisibili; la toletta di Psiche
92D192112	Psiche è condotta via in corteo funebre
92D192134	Psiche, con in mano una lampada, spia Cupido addormentato, che viene svegliato da una goccia d'olio bollente cadutagli addosso
92D1921745	Psiche, sulla via del ritorno, apre il cofanetto e viene sopraffatta dal sonno
92D19211	Psiche, venerata come una dea, incorre nelle ire di Venere
71C131311	Quando Abramo alza la mano per uccidere Isacco, un angelo trattiene la mano di Abramo
11B51	Quaternità, la Trinità con Maria Vergine
71C2131	Rebecca al pozzo (senza Eliezer)
71C21	Rebecca chiesta in matrimonio
71L1	Regno di Giuda (prima parte)
1	Religione e Magia
73E1	Resurrezione di Cristo
11F611	Sacra Conversazione
73B81	Sacra Famiglia (senza altri personaggi), 'Trinitas Terrestris'
73B821	Sacra Famiglia con Giovanni Battista (bambino)
73B8211	Sacra Famiglia con Giovanni Battista, è presente Elisabetta
73B82	Sacra Famiglia con altri personaggi, p.es.: Anna
73B8	Sacra Famiglia e rappresentazioni derivate
73C13341	Salome con la testa del Battista sul piatto
73C1335	Salome consegna la testa alla madre
73C133	Salome danza durante il banchetto di Erode
71I43	Salomone costruttore
71I33	Salomone e la regina di Saba (1 Re 10, 1-13; 2 Cr. 9, 1-9)
71I3131	Salomone offre sacrifici davanti all'Arca dell'alleanza
71I31	Salomone prega per ottenere la saggezza (1 Re 3, 4-15)
71I313	Salomone torna a Gerusalemme
11G184	San Gabriele arcangelo
11G32	San Michele arcangelo (con altri angeli) scaccia gli angeli ribelli dal Cielo
11G183	San Michele arcangelo (rappresentato in genere in armatura con la spada o la lancia)
11G31	San Michele arcangelo combatte il drago (diavolo, Satana)
11G185	San Raffaele arcangelo
71F37	Sansone e Dalila
71F35	Sansone e la mascella d'asino
71F354	Sansone uccide mille Filistei con una mascella d'asino
91B11141	Saturno divora i suoi figli
24C221	Saturno e i suoi figli ('Planetenkinder') ~ Acquario e Capricorno
71H15	Saul diviene geloso di David
73F2216	Saulo è battezzato da Anania
11G11	Serafini
73B42	Simeone, con Gesù Bambino in braccio, canta il cantico: 'Nunc dimittis'
73D412	Simone il Cireneo obbligato ad aiutare Cristo nel portare la croce
92I73	Sirene (mitologia classica)
11M32	Speranza, 'Spes'; 'Speranza divina e certa' (Ripa) ~ una delle tre Virtù Teologali
11E4	Spirito Santo rappresentato in altro modo, p.es. raggio/i di luce
12A42	Tabernacolo, 'mishkan' ~ religione ebraica
12A4	Tabernacolo, Tempio, Sinagoga e altri santuari ~ religione ebraica
71H81	Tamar oltraggiata; storia di Tamar e Amnon (2 Sam. 13)
93E8	Tartaro (e i dannati assegnati a quel luogo)
81F	Tasso, 'Gerusalemme Liberata' : Usare 83(TASSO, Gerusalemme Liberata)
11M42	Temperanza, 'Temperantia'; 'Temperanza' (Ripa) ~ una delle quattro Virtù Cardinali
71I432	Tempio di Salomone (1 Re 5-9; 2 Cr. 2-7)
71A4	Tentazione e Caduta (Genesi) (in generale)
71A42	Tentazione e Caduta (scene con Adamo ed Eva insieme)
91B1	Titani
91B11	Titani (Saturno, Oceano, Ceo, Crio, Iperone, Giapeto)
93E84	Tizio; due avvoltoi (o un'aquila), o un serpente, gli dilaniano il fegato
71T6	Tobia e Sara (Tb. 7 - 9)
71T54	Tobia e l'angelo Raffaele in viaggio, con il cane di Tobia
71T58	Tobia e l'angelo Raffaele proseguono il viaggio; di solito Tobia è raffigurato mentre porta il pesce
73E364	Tommaso tocca o tende la mano per toccare la piaga del costato, talvolta è Cristo stesso a guidargli la mano
94I13	Ulisse e i suoi compagni nella terra dei Ciclopi (Od. IX)
94I21	Ulisse viene accolto benevolmente dalla ninfa Calipso sull' isola di Ogigia (Od. XII)
73D24	Ultima Cena (in generale) (Mt. 26, 21-35; Mc. 14, 18-31; Lc. 22, 3; 22, 15-23; Gv. 13, 21-38)
73D731	Uomo di Dolori a mezza figura o di tre quarti
73D7331	Uomo di Dolori con Maria
73D73311	Uomo di Dolori con Maria e Giovanni
73D733	Uomo di dolori insieme con altri personaggi
73D73	Uomo di dolori, 'Imago Pietatis', 'Erbärmdebild', 'Schmerzensmann': Cristo in posizione eretta che mostra le sue ferite, di solito con la corona di spine, raffigurato insieme con gli strumenti della Passione, spesso in piedi o seduto sul sepolcro
92D428	Urania (una delle Muse); 'Urania' (Ripa)
91A11	Urano (Caelus), Cielo
71	Vecchio Testamento
92C4521	Venere al bagno
92C421	Venere e Adone come amanti
92C454	Venere e Cupido (Cupido non presente come mero attributo)
92C591	Vestale/i
73A6	Visitazione (possono essere presenti Giuseppe e/o Zaccaria) (Lc. 1, 39-56)
11N	Vizio; i sette Peccati Capitali
92B252	Vulcano nella sua fucina
92B2121	Vulcano viene scacciato dall'Olimpo da Giunone
92D19212	Zefiro porta via Psiche
73D53	a Cristo viene offerta una bevanda inebriante, ma egli la rifiuta
11P6	abbattimento di idoli pagani
11P3151	abbazia, monastero, convento ~ Chiesa Cattolica Romana
45C2	abbigliamento militare ed altro genere di equipaggiamento (uniformi, copricapi, armature, elmi, ecc.)
41D23	abbigliamento per la parte inferiore del corpo
41D223	abbigliamento per la parte superiore del corpo
51H42	abbondanza; 'Abondanza', 'Abondanza maritima' (Ripa)
33A14	abbracciarsi, baciare
41A	abitare
41D21	abiti che coprono l'intero corpo
41D242	abiti da ricevimento, da festa
41D24	abiti per occasioni particolari
41D2	abiti, costume
48A983111	acanto ~ elementi decorativi
48AA983111	acanto ~ elementi decorativi - AA - stilizzata
41D26	accessori (~ abbigliamento)
49L6	accessori per la scrittura
44B413	accoglienza ~ ambasciatore
11S5	accoglimento dei beati in paradiso
54E3	accordo, consenso
54A2	accuratezza, diligenza; 'Diligenza' (Ripa)
21D	acqua (uno dei quattro elementi)
23O12	acquario (segno zodiacale di gennaio)
55A	acquisizione e perdita
55A1	acquisto, guadagno, profitto
31A223	addome, ventre (essere umano)
34A	addomesticare e allenare, addestrare animali
73B57	adorazione dei re: i Magi fanno omaggio dei loro doni a Gesù Bambino (oro, incenso e mirra)
73B21	adorazione del Bambino da parte di Maria
73B23	adorazione del Bambino da parte di Maria e Giuseppe
73B22	adorazione del Bambino da parte di Maria; è presente Giovanni Battista
73B2	adorazione del Bambino ~ nascita di Cristo
11D1132	adorazione del nome di Gesù
11Q73242	adorazione dell'ostia, p.es. adorazione perpetua
11D124	adorazione della croce
11Q64	adorazione di (statue di) santi, p.es. ascendere candele
73B25	adorazione di Gesù Bambino da parte dei pastori; sono presenti Maria e Giuseppe
46B	affari, commercio e finanza
31AA2543	afferrare, stringere qualcuno per la mano o per il polso; stringersi la mano - AA - ambedue le braccia o ambedue le mani
71P4	aggiunte alla storia di Daniele
47I2133	agnello
11D1311	agnello (con la croce o il vessillo), 'Agnus Dei' ~ simbolo di Cristo
73D3121	agonia di Cristo: per confortarlo uno o più angeli appaiono a Cristo col calice e/o la croce
73D31211	agonia di Cristo; con tre (o con gli undici) apostoli addormentati
23I32	agosto; 'Agosto' (Ripa)
47I1	agricoltura
47I	agricoltura, allevamento di bestiame, orticoltura, floricoltura, ecc.
71E1254	al mattino la manna cade sulla terra
25G3	alberi
25GG3	alberi fantastici
73A21	albero di Iesse: albero genealogico che mostra gli antenati di Cristo, che germogliano dai fianchi di Iesse
23A	allegoria del Tempo e dell'Eternità
47I2	allevamento, industrie e attività produttive collegate all'allevamento di bestiame
41A14	alloggio urbano
11Q7141	altare
11Q714112	altare con dossale, 'reredos', polittico, retablo
11Q714113	altare con pala d'altare
11Q71411	altare fisso
25H2315	alto mare
11P316	altre 'organizzazioni' nella Chiesa Cattolica Romana
43D	altre attività del tempo libero
11Q767	altre festività del calendario ecclesiastico
48A98134	altre forme curve ~ decorazioni
11Q7313	altre funzioni religiose, p.es. benedizione
73C46	altre guarigioni operate da Cristo
92D19219	altre scene relative alla storia di Cupido e Psiche
73F2238	altre scene ~ atti e viaggi di Paolo
73F2154	altre scene ~ atti e viaggi di Pietro
11F74	altre specifiche iconografie in cui è rappresentata la Madonna
41A25	altre stanze
42E36	altre strutture commemorative
43A423	altre strutture decorative (~ ingresso trionfale, ecc.)
11D36	altre tipologie del Cristo crocifisso in contesto non narrativo
11D328	altre tipologie di Cristo adulto (senza altri personaggi)
11Q71467	altre vesti liturgiche
92D156	altri atti non aggressivi di Cupido
81H	altri cicli : Usare 81(...)
48A9845	altri elementi decorativi derivati da forme animali
48A9857	altri elementi decorativi derivati da oggetti
48A9864	altri elementi decorativi di fantasia
11P313	altri funzionari della Chiesa Cattolica Romana: accolito, corista, lettore, ostiario, ecc.
43A34	altri generi di divertimenti
43C77	altri giochi di bambini
11I35	altri gruppi di apostoli
25F29	altri mammiferi
73C6	altri miracoli di Cristo
11Q7148	altri oggetti ~ la chiesa (anche oggetti non liturgici)
31A226	altri particolari anatomici
48C168	altri particolari architettonici
11P3114	altri prelati, p.es.: arcidiacono, canonico (cattolico romano)
49D6	altri rami della matematica
11D13	altri simboli di Cristo
44A5	altri simboli di singole nazioni, stati, distretti, ecc.
43C36	altri sport nell'ambito dell'atletica
48C7313	altri strumenti della categoria dei violini: viola antica, ribeca
25F39	altri uccelli
11Q71449	altri utensili usati in chiesa
44B114	altro sovrano
33C2	amanti; corteggiare, amoreggiare
44B41	ambasciatore
31AA2611	ambedue le gambe diritte - AA - figura umana femminile
31AA261	ambedue le gambe nella medesima posizione - AA - figura umana femminile
34A1	amicizia tra uomo e animale; carezzare, coccolare
44G1	amministrazione della giustizia, giudizio
56F2	amore (personificazioni e rappresentazioni simboliche); 'Amore (secondo Seneca)' (Ripa)
42B1	amore dei genitori
92D121	amore di Cupido e Psiche
42B12	amore materno
33C8	amorevolezza, desiderio
92D19163	amorini che combattono animali fantastici
92D19164	amorini con attributi delle arti, delle scienze, ecc.
92D1916	amorini: 'amores', 'amoretti', 'putti'
11Q331	anacoreta, eremita
31A2	anatomia (non-sanitaria)
31AA2	anatomia (non-sanitaria) - AA - figura umana femminile
41D2664	anello
25F5	anfibi
11G	angeli
11G21	angeli che cantano, fanno musica
11G22	angeli che celebrano l'Eucaristia
11G23	angeli che incoronano e/o portano foglie di palma
11G42	angeli che soccorrono un'anima inseguita da demoni
11G3	angeli combattenti
11G193	angeli di aspetto femminile
11G25	angeli in adorazione
11G24	angeli reggicortina
11I424	angelo (generalmente con libro) ~ simbolo di San Matteo
11G41	angelo custode
73D67141	angelo/i che raccolgono il sangue di Cristo nel calice
11G1926	angelo/i con altro/i oggetto/i, p.es. armi
11GG1926	angelo/i con altro/i oggetto/i, p.es. armi - GG - angelo/i di ordine inferiore senza le ali
11G1925	angelo/i con calice
11G1923	angelo/i con fiaccola
11G1921	angelo/i con libro (cartiglio) o banderuola
11G1922	angelo/i con scettro e/o globo
11G1924	angelo/i con turibolo
11G19	angelo/i di ordine inferiore
11GG19	angelo/i di ordine inferiore - GG - angelo/i di ordine inferiore senza le ali
11G192	angelo/i rappresentato/i come adolescente/i o adulto/i
11GG192	angelo/i rappresentato/i come adolescente/i o adulto/i - GG - angelo/i di ordine inferiore senza le ali
11G191	angelo/i rappresentato/i come bambino/i
11GG191	angelo/i rappresentato/i come bambino/i - GG - angelo/i di ordine inferiore senza le ali
73E23	angelo/i si rivolge alle pie donne ~ Resurrezione of Cristo
43C1121	animale cacciato attacca l'uomo
46C14	animale da tiro, veicolo a trazione animale (carrozza, ecc.)
25F	animali
34F1	animali che minacciano l'uomo
46C13	animali da montare; animali da soma
34B2	animali domestici tenuti fuori casa
34B	animali domestici, tenuti dentro e fuori casa
34B1	animali domestici, tenuti in casa
25FF	animali fantastici (talvolta detti erroneamente 'grottesche'); 'Mostri' (Ripa)
25FF41	animali fantastici ~ lacertidi
25FF2	animali fantastici ~ mammiferi
25FF6	animali fantastici ~ pesci
25FF23	animali fantastici ~ predatori
25FF4	animali fantastici ~ rettili
25FF42	animali fantastici ~ serpenti (aspide, drago, hidrus, ecc.)
25FF3	animali fantastici ~ uccelli
25FF36	animali fantastici ~ uccelli acquatici
25FF33	animali fantastici ~ uccelli predatori
25FF24	animali fantastici ~ ungulati
23D2	anno diviso in due stagioni
23D4	anno diviso in quattro stagioni
73B14	annuncio ai pastori (e/o pastorelle) nella notte; una schiera di angeli canta in cielo
73A2341	annuncio dell'angelo ad Anna della nascita di Maria, in genere la scena si svolge in un giardino sotto un albero di alloro dove si trova un nido di passeri
42E21	annuncio della morte
73A11	annuncio della nascita di Giovanni Battista a Zaccaria: mentre sta offrendo incenso nel tempio gli appare un angelo (Gabriele)
94C1	antefatti della guerra di Troia: la storia d'amore di Paride (chiamato anche Alessandro) e Elena
73A2	antenati e parenti di Cristo
23T23	antichità classica (epoca storica)
71C128411	appare un angelo e rende visibile ad Agar un pozzo d'acqua
73E37	apparizione sul lago di Genezaret (Mar di Galilea, lago di Tiberiade): pesca miracolosa (dopo la Resurrezione)
73E3	apparizioni di Cristo dopo la Resurrezione
11F82	apparizioni di Maria Vergine
11G1834	apparizioni di San Michele arcangelo
41B312	applique, lampada a muro
44E1	approvvigionamento d'acqua (~ servizi di pubblica utilità)
23I21	aprile; 'Aprile' (Ripa)
41A321	aprire la porta
11I421	aquila (generalmente con libro) ~ simbolo di San Giovanni Evangelista
25FF332	aquila a due teste
48A9871	arabesco ~ composizioni decorative
46A123	araldo
25G31	arbusti
48C1	architettura
41A1	architettura civica; edifici, abitazioni
41AA1	architettura civica; edifici, abitazioni - AA - architettura civile: in un'interno
48C1431	architettura fantastica, capricci architettonici, composizioni di fantasia con architetture non realistiche
48C143	architettura ideale e immaginaria
11P3113	arcivescovo, vescovo, ecc. (cattolico romano)
43A422	arco trionfale
48C162	arco, archivolto ~ architettura
23O21	ariete (segno zodiacale di marzo)
41A2541	armadio della biancheria
45C22	armatura
45C1	armi
45C15	armi da arciere
45C12	armi da botta
45C16	armi da fuoco
45C11	armi da lancio
45C13	armi da taglio
45C19	armi difensive
45C14	armi immanicate, armi in asta (per colpire, trafiggere)
48C515	arnesi, strumenti del pittore
48C34	arnesi, strumenti dell'artigiano
47D8	arnesi, sussidi, attrezzi ~ mestieri e industrie
48C7322	arpa
11Q714	arredi e strumenti (liturgici) della chiesa
11Q7142	arredo d'altare
41A241	arredo e servizi della stanza da bagno
73D3	arresto di Cristo, processo e tortura
45F6	arringa del generale prima della battaglia
73B56	arrivo dei Magi a Betlemme
73D44	arrivo di Cristo al Calvario
73A62	arrivo di Maria in una città di Giuda
46C514	arrivo e ritorno ~ viaggo
48	arte
0	arte astratta
48A	arte e pubblico; stili e decorazioni
48C3	arti applicate, arti e mestieri; disegno industriale
48C53	arti grafiche
31A546	articoli da toletta ~ lavarsi e bagnarsi
47B	artigianato e industria
47B181	artigianato ~ cibo
47B11	artigianato ~ metalli
47B18	artigianato ~ produzione di cibo, bevande, stimolanti, ecc.
47B1	artigianato, artigiano al lavoro
48B	artista (in generale)
48B1	artista all'opera, nel suo studio
25F71	artropodi
51L5	ascesa
31A5463	asciugamano
46C13142	asino, somaro
59	aspetti della condotta sociale
49C	aspetti della scienza in generale
41	aspetti materiali della vita quotidiana
45K21	assedio
45K	assedio, guerra di posizione
54A11	assiduità, industriosità; 'Assiduità', 'Industria', 'Zelo' (Ripa)
46A3	assistenza pubblica
73E77	assunzione di Maria ('assumptio corporis'): viene portata in cielo dagli angeli
73E78	assunzione di Maria associata alla sua incoronazione
51AA3	astrattezza, incorporeità
14	astrologia
49E1	astronomia (e cosmografia)
43C3	atletica, ginnastica
45K2	attacco ~ assedio
53B	atti della volontà
73F272	atti di Bartolomeo
92H14	atti e relazioni affressive, ostili di Nettuno
92B34	atti e relazioni aggressivi, ostili di Apollo
92D14	atti e relazioni aggressivi, ostili di Cupido
94L4	atti e relazioni aggressivi, ostili di Ercole
91B1114	atti e relazioni aggressivi, ostili di Saturno
92C45	atti e relazioni non aggressivi amichevoli o neutrali di Venere
92D15	atti e relazioni non aggressivi, amichevoli o neutrali di Cupido
92C35	atti e relazioni non aggressivi, amichevoli o neutrali di Diana
92B15	atti e relazioni non aggressivi, amichevoli o neutrali di Giove
92C15	atti e relazioni non aggressivi, amichevoli o neutrali di Giunone
94O5	atti e relazioni non aggressivi, amichevoli o neutrali di Orfeo
92L4215	atti e relazioni non aggressivi, amichevoli o neutrali di Sileno
92B25	atti e relazioni non aggressivi, amichevoli o neutrali di Vulcano
71H6	atti religiosi di David
44B12	atti ufficiali del sovrano, p.es.: atti regali (sovrano che dà udienza, concede clemenza, ecc.; sovrano e i suoi sudditi
54A1	attività
11G2	attività degli angeli (in Cielo)
11K4	attività del/i diavolo/i
47G	attività edilizie
47I22	attività ~ bestiame
48C8521	attore (sulla scena)
47I15	attrezzi agricoli
44B15241	attributi del giullare di corte
92B38	attributi di Apollo
92L18	attributi di Bacco
92M18	attributi di Cerere
92D18	attributi di Cupido
92C38	attributi di Diana
92B18	attributi di Giove
92B48	attributi di Marte
92I7118	attributi di Medusa
92B58	attributi di Mercurio
92C28	attributi di Minerva
92H18	attributi di Nettuno
92C48	attributi di Venere
23D44	autunno, 'Autumnus'; 'Autunno' (Ripa)
94A3	avventure degli Argonauti durante il loro viaggio nella Colchide
94I	avventure dei Greci dopo la caduta di Troia: peregrinazioni di Ulisse (Omero, Odissea)
54E	azione reciproca
92L1791	baccanale: Bacco con il suo seguito ebbro di vino (thiasos)
25F714	bachi
31A5341	baffi
41A541	balaustrata
41A38	balcone
48C8422	ballerina (arti del palcoscenico)
48C8421	ballerino (arti del palcoscenico)
43C94	ballo in gruppo
31D112	bambino
31D1122	bambino, tra fanciullezza e giovinezza (di sesso non definito)
42A5	bambino/a (in casa)
46B53	banca
44A3	bandiera, colori (come simbolo dello stato, ecc.)
45D1	bandiere e stendardi (militari)
31A534	barba
46C232	barca a remi, canoa, ecc.
48C1613	base ~ colonna, pilastro
47I2213	bastone da pastore
41D263	bastone, bastone da passeggio
45H3	battaglia
91C21	battaglia dei Giganti contro gli dei; gigantomachia
96B8	battaglia del Lazio (II): tregua e nuova battaglia (En. XI); le ultime gesta di Turno (En. XII)
45H	battaglia, combattimento in generale
91C	battaglie (dei Titani, Giganti, Tifone, Aloadi) con gli dei
11Q73212	battesimo
73C121	battesimo di Cristo sul fiume Giordano: Giovanni Battista versa l'acqua sul capo di Cristo; lo Spirito Santo scende su di Lui
11Q7321	battesimo ~ il primo dei sette sacramenti
73C77	beatitudini e benedizioni di Cristo
11Q7562	benedizione (di oggetti o persone), p.es. per unzione
11Q731131	benedizione da parte del sacerdote ~ Messa
71C27	benedizione di Isacco (di Giacobbe e Esaù)
57A7	benevolenza, beneficenza; 'Beneficio', 'Benevolenza o Affettione' (Ripa)
41C12	bere
44B152411	berretto da giullare
47I21	bestiame
41C71	bevande alcoliche
41C7	bevande, stimolanti, droghe
41D25	biancheria intima e abbigliamento da notte
41C7111	bicchiere di vino
41C323	bicchiere, bicchierone (da vino)
46B3311	bilancia
23O41	bilancia (segno zodiacale di settembre)
31D11212	bimba ai primi passi
31D11211	bimbo ai primi passi
31D1121	bimbo, bambino ai primi passi (di sesso non definito) ~ età dell'uomo
49F	biologia
31A2214	bocca
44G32	boia, carnefice
45K23	bombardamento ~ assedio
46A131	borghesia, cittadini, borghesi
49F1	botanica
48B11	bottega, studio dell'artista (in generale)
41A2221	boudoir
47I2281	bovaro
47I211	bovini
31A224	braccia
41D2662	braccialo
31A2511	braccio alzato verso l'alto
31AA2511	braccio alzato verso l'alto - AA - ambedue le braccia o ambedue le mani
31A25112	braccio alzato, con dita aperte
31A2516	braccio o mano tenuti davanti al corpo
31A2512	braccio teso in avanti
31AA2512	braccio teso in avanti - AA - ambedue le braccia o ambedue le mani
41B153	brace, scoria
41B12	bruciare come processo
47I21111	bue
11I422	bue (generalmente con libro) ~ simbolo di San Luca
43C11	caccia
43C1113	caccia agli uccelli
43C111241	caccia al cervo
43C111243	caccia al cinghiale
43C111261	caccia alla lepre, caccia al coniglio
43C11123	caccia ~ animali predatori (volpe, leone)
43C1112	caccia ~ mammiferi
43C11126	caccia ~ roditori
43C11124	caccia ~ ungulati
71A6	cacciata di Adamo ed Eva dal paradiso
43C114	cacciatore
43CC114	cacciatore - CC - cacciatrice
43C1142	cacciatori che cacciano
31E3	cadavere
49L62	calamaio
11Q76	calendario di festività ecclesiastiche
11Q71441	calice
11Q73241	calice con l'ostia
54A4	calma, tranquillità, imperturbabilità
31A553	calzare (allacciare) o togliere (slacciare) sandali o scarpe
41A23	camera da letto
31A2711	camminare
46E521	campana ~ segnalazione acustica
45C41	campo (militare) con le tende
45M6	campo di internamento
25H22	canale
25I145	canali, fiumi, ecc. (in città)
25I245	canali, fiumi, ecc. (in un paese)
41A542	cancello, entrata
23O31	cancro (segno zodiacale di giugno)
41B31	candela
48A98711	candelabra ~ composizioni decorative
34B11	cane
31A1	canone, proporzioni
31AA1	canone, proporzioni - AA - figura umana femminile
12A5	capi e divisioni spirituali, funzionari religiosi ~ religione ebraica
31A4441	capigliatura in eccesso
31AA4441	capigliatura in eccesso - AA - femmina
48C1612	capitello ~ colonna, pilastro
41D212	capotto, mantello
47I214	capra
47I2142	capra (femmina)
23O11	capricorno (segno zodiacale di dicembre)
25F37	caradri e trampolieri
48C85431	caratteri, personaggi nella commedia dell'arte
48B111	caratteristiche e strumenti dello studio (artista in generale)
11P3112	cardinale
48C1642	cariatidi ~ architettura
45H32	carica, attacco ~ una battaglia
32A5	caricature (tipi umani)
41C69	carne; natura morta con carni
47I1451	carro di fieno
46C145	carro, carro agricolo, carro da trasporto
25A2	carte dei continenti e delle regioni polari
25A3	carte dei singoli paesi o regioni
25A4	carte di città
25A	carte geografiche, atlante
49L71	cartiglio
49LL71	cartiglio - LL - cartiglio svolto, aperto
48A9876	cartiglio ~ composizioni decorative
41A141	casa comune; fila di case
41A161	casa di campagna
41A143	casa isolata, indipendente, nell'ambito di una città
44B152	casa reale, corte; cortigiani, seguito, corteo
44BB152	casa reale, corte; cortigiani, seguito, corteo - BB - governatrice, signora, sovrana
25H216	cascata
41A12	castello
11Q313	castigo, flagellazione ~ vita ascetica
33C812	castità
33C81	castità contro sensualità
41A18	casupola, capanna, casetta
43A491	catafalco, 'castrum doloris' (~ funerali pubblici)
25H111	catena montuosa, cime innevate
31E2	cause di morte
46C132	cavalcare animali diversi da cavallo, asino, mulo
46C131	cavalcare un cavallo, asino, mulo; cavaliere
46A124	cavaliere
46C1314	cavalli e animali affini
46C13141	cavallo
46C1318	cavallo in movimento
25H119	caverna, grotta
71T3	cecità di Tobi (Tb. 2 - 3, 6)
